,phi,phi_se,t(φ=0),t(φ=1),полураспад_дн,долгоср_среднее,режим
rate_PC1,0.999203649946648,0.001580949001539456,632.0277560969197,-0.5037164719270143,870.0585215013447,-0.31630046683569885,≈ случайное блуждание (φ≈1)
rate_PC2,0.9895211095653437,0.004194890487872367,235.88723291492292,-2.4980128718380876,65.79981936213332,-0.004580052953003154,возврат к среднему
rate_PC3,0.9878012281373825,0.004495245636804475,219.74354861719604,-2.7137052895933054,56.473780124411874,0.0017119814225810654,возврат к среднему
