date,prev_date,window,portfolio_value,realized_pnl_total,VaR_0.990_total,exception_total,realized_pnl_bonds,VaR_0.990_bonds,exception_bonds,realized_pnl_equities,VaR_0.990_equities,exception_equities,realized_pnl_fx,VaR_0.990_fx,exception_fx
2025-01-03,2024-12-30,500,244846915.66597483,-304088.7562664259,5624530.57000558,False,-93617.30868815699,455961.79615076253,False,-210471.44757826888,284803.9777881057,False,0.0,5718361.5327710295,False
2025-01-06,2025-01-03,500,244799025.23123556,92691.9746168025,5624490.245679236,False,112946.09552769884,452443.3548222809,False,-20254.120910896338,284803.9777881057,False,0.0,5718361.5327710295,False
2025-01-08,2025-01-06,500,244975399.4657136,101896.19439106184,5624451.385613303,False,39344.99296487275,455908.1160322297,False,62551.2014261891,284803.9777881057,False,0.0,5718361.5327710295,False
2025-01-09,2025-01-08,500,245082757.8165298,-563903.7923258897,5624364.146378222,False,-354102.95220238704,457874.74853358476,False,-209800.84012350262,284803.9777881057,False,0.0,5718361.5327710295,False
2025-01-10,2025-01-09,500,244649300.0487283,1080626.0937666441,5624654.432779576,False,-86835.1639537525,446376.0719875269,False,228146.6136118852,284803.9777881057,False,939314.6441085115,5718361.5327710295,False
2025-01-13,2025-01-10,500,244589900.5616783,104161.9936673588,5624678.575208456,False,68931.9255282544,444790.14854629233,False,35230.06813910438,284803.9777881057,False,0.0,5718361.5327710295,False
2025-01-14,2025-01-13,500,244689656.59283108,207010.41362322532,5624596.602255948,False,-66751.76737623019,445421.581200286,False,88484.3792602309,284803.9777881058,False,185277.8017392246,5718361.5327710295,False
2025-01-15,2025-01-14,500,244638810.4967497,1903151.4178417686,5624641.210470594,False,-228858.31295083452,443915.38531832054,False,92193.7257928151,284803.9777881057,False,2039816.004999788,5718361.5327710295,False
2025-01-16,2025-01-15,500,244426886.56684685,-740646.4522744842,5624898.102091805,False,53401.55712549972,439465.1605387929,False,-41546.15427554033,284803.9777881057,False,-752501.8551244437,5718361.5327710295,False
2025-01-17,2025-01-16,500,244490954.17746043,-645559.7368490339,5624883.823992297,False,-109097.30798177522,440644.46810445585,False,156590.34327303627,284803.9777881057,False,-693052.7721402949,5718361.5327710295,False
2025-01-20,2025-01-17,500,244391473.00326794,15366.853870304767,5624999.591798295,False,188318.89997265194,438197.4740100129,False,-172952.04610234717,284803.9777881057,False,0.0,5718361.5327710295,False
