,n_obs,n_exceptions,expected_exceptions,exception_rate,kupiec_lr,kupiec_pvalue,christoffersen_lr,christoffersen_pvalue,cc_lr,cc_pvalue,dq_stat,dq_pvalue,traffic_light
total,250,3,2.500000000000002,0.012,0.09494012266443264,0.75798832137329,5.425235005524151,0.019847764032734156,5.520175128188583,0.063286226515905,0.06647643379304385,0.9999940304095858,green
bonds,250,2,2.500000000000002,0.008,0.10843521623679919,0.7419327009526281,0.03238901789515225,0.8571765193042811,0.14082423413195144,0.9320096436687839,2.558475416707184,0.8618667900879615,green
equities,250,7,2.500000000000002,0.028,5.496990447792683,0.019049230890526545,0.40501516749267097,0.5245105151318585,5.902005615285354,0.052287245599507544,30.083016431299352,3.790537582163369e-05,yellow
fx,250,3,2.500000000000002,0.012,0.09494012266443264,0.75798832137329,5.425235005524151,0.019847764032734156,5.520175128188583,0.063286226515905,0.0511010814378989,0.9999972727056342,green
