,доля,накопл.
PC1,0.5405375573054001,0.5405375573054001
PC2,0.08013292395310363,0.6206704812585038
PC3,0.06535354146372933,0.6860240227222331
PC4,0.055972904106973975,0.741996926829207
PC5,0.05345172723201223,0.7954486540612192
PC6,0.05178115306149785,0.8472298071227171
PC7,0.048650983946765314,0.8958807910694824
PC8,0.03883366615965474,0.9347144572291372
PC9,0.034545461463712575,0.9692599186928498
PC10,0.030740081307150315,1.0
