,среднее,σ,n
Пн,0.07255747198086936,2.8419319441602284,236
Вт,0.09809987406484401,2.243339084365718,240
Ср,0.011740650449831644,2.1075022916172883,243
Чт,-0.12668192531548386,2.069176172434568,241
Пт,-0.06208462417562276,2.3257149801440975,244
5,0.431696215505352,0.8361773573673632,5
