TRADEDATE,rate_PC1,rate_PC2,rate_PC3,eq_SBER,eq_GAZP,eq_LKOH,eq_GMKN,eq_ROSN,eq_NVTK,eq_MGNT,eq_MTSS,eq_YDEX,eq_PLZL,fx_USD,fx_EUR
2021-01-13,-0.00015640635250877984,-0.0013699250828129413,-0.000306501920317288,-0.021647149548187805,-0.008298802814694639,0.005925426887454677,0.0016181856738519684,0.024054890265963635,0.017406510379538,-0.007458254727886526,-0.006905897435363961,-0.008234049031171864,0.00042145532387039,-0.003352559228903651,-0.005405925882242535
2021-01-14,0.0009722799083836184,-1.0597465770039811e-05,0.0004505155003787206,0.0035527764826497332,0.009041891035971084,0.031134913114692964,0.017402362538023297,0.03845269132588047,0.008660481564447764,-0.006397499915244964,0.01628724834750539,-0.00047257118982990676,-0.022685034931997805,-0.010012756808209566,-0.005992051499872808
2021-01-15,0.0008190891511218651,-0.0020698162041960996,0.0001188929203285727,-0.028095636384900757,-0.010365517966479665,-0.008202658989073797,-0.024355956190436956,0.014156744490064987,-0.0442178791890786,-0.03127173717786924,-0.013429029026721828,-0.015761487134037466,-0.016043124840575018,0.0036613592803504957,-0.0015114481678661917
2021-01-18,-0.00010573330478732323,-0.00019844324282818608,4.1826012875245414e-05,0.010382891601629751,0.0016762984206737386,-0.002635719759082278,0.003019162347579041,0.008360114794268014,0.010556095419214095,0.0017259568960010796,0.00045055193373144675,0.009082280404172138,3.369215478521426e-05,0.0,0.0
2021-01-19,-0.0007915394981073949,0.00046808403340756037,0.0002118259864647992,-0.0057349882983013245,-0.016577052268483605,0.003229922060000945,-0.0018568670712504343,-0.011292954906094721,-0.009539023046759354,-0.006825308880246794,-0.005722045427242861,-0.006923747367970634,-0.010158903527770491,0.002401036278443236,-0.003543457955364815
2021-01-20,-0.0010585850078189106,-0.00018811050063875277,-0.000868911549653158,0.005770728751136822,0.005140250450883954,-0.004763534016033688,0.027648011263488925,-9.790962949018933e-05,0.008243592854804582,-0.004253268857523196,0.003316752625993402,0.03167632307137502,0.02450913556744716,-0.0033744610477572934,-0.0013890695916840556
2021-01-21,6.100148497389943e-05,-0.00023689162765356595,0.00024901427292977414,-0.01948816637965134,-0.031797597155831525,-0.015986588855520623,-0.0004520795737033012,-0.025084346999455498,-0.026711067716263415,-0.019860751624133144,-0.00876800779687592,-0.019729129030125137,0.0002988593556931818,-0.005021791320675817,-0.0006515107485824956
2021-01-22,0.0012596808241722092,-0.0025485797716138874,0.0006084532028526692,-0.022667514340922068,-0.008272339615511548,-0.005299061177099773,-0.013887531106751894,-0.007558614973926403,0.005311313754812197,-0.013730192811902242,0.0018203888522174694,-0.010550629362812813,-0.015019767546604612,0.00019628637154056605,-0.0020278926305428158
2021-01-25,1.3380016938330115e-05,0.0004812048108968014,-0.0005751236164567957,-0.011058120367113844,0.014694969271978664,-0.0032279199238107736,-0.007286146433951757,0.002727687704260795,0.010101835410249116,0.03494622053893082,0.011752432993199058,-0.022990445527410586,0.014255838255945008,0.0,0.0
2021-01-26,-0.0008388102932041114,0.0009905802934711597,0.0002668585543199074,0.015113260878202084,0.0005485965210274557,-0.022355691351974016,-0.00827057854464286,-0.003334852264504029,0.0005824960118099298,0.0012568281250313618,0.007461607518489011,-0.0007346939105996597,0.004707138999334504,0.0200713360225091,0.024187039657536324
