,bonds,equities,fx,total,bonds_доля_ES,equities_доля_ES,fx_доля_ES
1д | t-Стьюдента i.i.d. (ν=4.02),20255.03547735289,4320.384137243911,5827303.709865433,5851879.129480029,0.0034612873966097545,0.0007382900503667444,0.9958004225530236
1д | GARCH-CCC + t (ν≈4.43),72045.67013998594,16027.779526792565,4957873.272346222,5045946.7220129995,0.014277929219047417,0.0031763671734525447,0.9825457036075003
10д | t-Стьюдента i.i.d. (ν=4.02),138028.1756226082,23394.511110627685,15508717.440239966,15670140.126973199,0.0088083561795991,0.001492935667522107,0.989698708152879
10д | GARCH-CCC + t (ν≈4.43),215744.38067792717,25066.67837191364,15151481.440255994,15392292.499305835,0.014016390390687862,0.0016285214416919445,0.9843550881676202
